Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-12 00:00:00-03:00,49.96231003938929,50.158763631111256,49.739064689263735,49.92658996582031,25851300,0.0,0.0
2025-08-13 00:00:00-03:00,50.1903786339678,50.37524261481594,49.8576241736386,49.996273040771484,19720000,1.895387,0.0
2025-08-14 00:00:00-03:00,49.49714194577589,49.552602198493716,49.062715640441446,49.37697982788086,42823200,0.0,0.0
2025-08-15 00:00:00-03:00,49.41395344378795,49.52487394947972,48.98876874993114,49.284549713134766,34201900,0.0,0.0
2025-08-18 00:00:00-03:00,49.08119601158694,49.645029540479484,49.01649415017176,49.17362976074219,12733400,0.0,0.0
2025-08-19 00:00:00-03:00,49.46016794106261,49.617303559171795,48.98876813870938,49.21060562133789,17724400,0.0,0.0
2025-08-20 00:00:00-03:00,48.89633549352008,49.23833154992531,48.859361993912216,48.988765716552734,9687300,0.0,0.0
2025-08-21 00:00:00-03:00,49.00725633977094,49.478656156075,48.9425544733368,49.40471267700195,10813800,0.0,0.0
2025-08-22 00:00:00-03:00,49.3862244475835,50.73572551565758,49.2753074693001,50.64329528808594,20706700,0.0,0.0
2025-08-25 00:00:00-03:00,50.99453353471457,51.207129407245326,50.59708073099382,50.76345443725586,10397400,0.0,0.0
2025-08-26 00:00:00-03:00,50.671026606752086,51.216373443603516,50.541622870208926,51.216373443603516,18891500,0.0,0.0
2025-08-27 00:00:00-03:00,51.04075011910527,51.32728593178077,50.94831636825264,51.18864059448242,8789100,0.0,0.0
2025-08-28 00:00:00-03:00,51.76171501072315,51.937333845868494,51.14242475574719,51.20712661743164,22059500,0.0,0.0
2025-08-29 00:00:00-03:00,51.29031675211686,51.60458445791093,51.25334325120294,51.355018615722656,13885400,0.0,0.0
2025-09-01 00:00:00-03:00,50.966805961938476,51.391990661621094,50.66178338207478,51.391990661621094,7765400,0.0,0.0
2025-09-02 00:00:00-03:00,50.93907614846985,51.355019223707934,50.87437428409805,51.19788360595703,9578500,0.0,0.0
2025-09-03 00:00:00-03:00,51.19788506298172,51.59534139885506,51.05923971794813,51.391990661621094,11832100,0.0,0.0
2025-09-04 00:00:00-03:00,51.6230675146329,51.90960685680399,51.345773310653804,51.4936637878418,8442100,0.0,0.0
2025-09-05 00:00:00-03:00,51.94658206613375,52.38100837379411,51.78020483307669,51.96506881713867,14014700,0.0,0.0
2025-09-08 00:00:00-03:00,51.97430886286715,52.3347916816282,51.97430886286715,52.0944709777832,9701900,0.0,0.0
2025-09-09 00:00:00-03:00,52.44571279629182,53.166678442226704,51.80793223936128,51.93733596801758,24300300,0.0,0.0
2025-09-10 00:00:00-03:00,52.1961456817401,52.73224733398892,52.02052331770354,52.297821044921875,13463700,0.0,0.0
2025-09-11 00:00:00-03:00,52.177661116996084,52.93560027756857,52.048257386067206,52.70452117919922,14107200,0.0,0.0
2025-09-12 00:00:00-03:00,52.40874093957245,53.08349149301648,52.40874093957245,52.68603515625,12303800,0.0,0.0
2025-09-15 00:00:00-03:00,53.129702794761144,53.194404656475704,52.66754462480743,53.148189544677734,12457500,0.0,0.0
2025-09-16 00:00:00-03:00,53.397755450667894,53.665808035834836,52.86165028033402,53.33305358886719,15618500,0.0,0.0
2025-09-17 00:00:00-03:00,53.18516680437968,53.628838255781694,53.01878956935552,53.42548751831055,23116700,0.0,0.0
2025-09-18 00:00:00-03:00,53.46245944448726,53.68429692664131,53.05576150752319,53.32381057739258,17700400,0.0,0.0
2025-09-19 00:00:00-03:00,53.58262229632988,53.78596950460929,53.19440757872879,53.53640365600586,25374600,0.0,0.0
2025-09-22 00:00:00-03:00,53.44397432729602,54.017049511894584,53.434732714667916,53.6103515625,21947300,0.0,0.0
2025-09-23 00:00:00-03:00,53.61035065582103,53.97083348400394,53.296082941971555,53.30532455444336,17652400,0.0,0.0
2025-09-24 00:00:00-03:00,53.56413487368304,53.73975371635548,53.3053238898655,53.50867462158203,13005700,0.0,0.0
2025-09-25 00:00:00-03:00,53.78596805303355,54.11872250885776,53.64732271376487,53.8044548034668,13631100,0.0,0.0
2025-09-26 00:00:00-03:00,53.370029316737394,53.5548897718926,52.260848955870344,52.769222259521484,29037000,0.0,0.0
2025-09-29 00:00:00-03:00,53.148190203153945,53.37926929099375,52.80619414042742,52.94483947753906,15580200,0.0,0.0
2025-09-30 00:00:00-03:00,53.30532253823336,53.4069979015135,52.7692208854659,53.222137451171875,18280700,0.0,0.0
2025-10-01 00:00:00-03:00,53.38851190929152,54.22963966384172,53.38851190929152,53.896888732910156,18278300,0.0,0.0
2025-10-02 00:00:00-03:00,53.9431022977136,54.405260468837284,53.68429485020019,54.25736999511719,14824500,0.0,0.0
2025-10-03 00:00:00-03:00,54.257372234898845,54.64558342219459,54.07250825362066,54.155696868896484,19240200,0.0,0.0
2025-10-06 00:00:00-03:00,54.35904762640912,55.431254487141146,54.349802488047935,55.080013275146484,26102900,0.0,0.0
2025-10-07 00:00:00-03:00,54.996822308479466,55.10773928216138,54.303585052490234,54.303585052490234,26072300,0.0,0.0
2025-10-08 00:00:00-03:00,54.64558500788753,54.89515086095685,54.432992657344165,54.71953201293945,24609500,0.0,0.0
2025-10-09 00:00:00-03:00,55.32958223430225,55.810227202500506,54.63634490966797,54.63634490966797,18184600,0.0,0.0
2025-10-10 00:00:00-03:00,55.061527184422225,55.27411953144469,54.41450500488281,54.41450500488281,22970400,0.0,0.0
2025-10-13 00:00:00-03:00,55.153954458874004,55.514440794241324,55.04303748506169,55.227901458740234,23294500,0.0,0.0
2025-10-14 00:00:00-03:00,54.811958399460266,55.57914265613076,54.73801492558106,55.227901458740234,19329000,0.0,0.0
2025-10-15 00:00:00-03:00,54.987582367105105,56.36481178295993,54.959850478351825,56.2538948059082,45104600,0.0,0.0
2025-10-16 00:00:00-03:00,56.02281788893161,56.3185988565462,55.52368618383676,55.73627853393555,21358500,0.0,0.0
2025-10-17 00:00:00-03:00,55.36655118521477,55.736275612359215,55.27411743393835,55.57914352416992,17325300,0.0,0.0
2025-10-20 00:00:00-03:00,55.58838822175985,56.70681022937991,55.58838822175985,56.290870666503906,17798400,0.0,0.0
2025-10-21 00:00:00-03:00,56.05978758657171,56.429512008002916,55.98584058669325,56.19843292236328,13432700,0.0,0.0
2025-10-22 00:00:00-03:00,56.57740344157399,57.529451688231404,56.54967507914269,57.19669723510742,25267300,0.0,0.0
2025-10-23 00:00:00-03:00,57.51096549134634,57.80674644675001,57.002588668633365,57.085777282714844,11217700,0.0,0.0
2025-10-24 00:00:00-03:00,57.298372475469186,57.427776201186475,56.68832382138264,57.058048248291016,11127600,0.0,0.0
2025-10-27 00:00:00-03:00,57.36307512594069,57.45550535244011,56.75302646347798,56.99334716796875,12018100,0.0,0.0
2025-10-28 00:00:00-03:00,56.99334574399695,57.80674511562025,56.91940226984231,57.49247741699219,15797400,0.0,0.0
2025-10-29 00:00:00-03:00,58.06555346882908,58.86970771497023,57.96387810504364,58.536956787109375,30844900,0.0,0.0
2025-10-30 00:00:00-03:00,58.33360680168104,59.1562478086116,58.16722957264035,58.980628967285156,25586000,0.0,0.0
2025-10-31 00:00:00-03:00,59.41505537023639,60.58894111388402,59.036085798077266,60.32088851928711,38988400,0.0,0.0
2025-11-03 00:00:00-03:00,60.17299652143789,60.44104912497485,59.75705696021042,60.404075622558594,16985400,0.0,0.0
2025-11-04 00:00:00-03:00,59.94191697787374,60.08981098644713,59.183977813871294,59.72932815551758,22055700,0.0,0.0
2025-11-05 00:00:00-03:00,59.72932971041565,61.16201593290066,59.61840920109808,60.75532150268555,22505400,0.0,0.0
2025-11-06 00:00:00-03:00,60.78304501971317,61.051097606873064,60.320886845707996,60.542720794677734,15939100,0.0,0.0
2025-11-07 00:00:00-03:00,59.94191438737509,59.951159525505005,59.17473011799846,59.87721252441406,20800300,0.0,0.0
2025-11-10 00:00:00-03:00,60.13602078130871,60.579695741819734,59.997378967374885,60.2746696472168,12689400,0.0,0.0
2025-11-11 00:00:00-03:00,60.27467054492989,60.690617148849135,59.85873099298501,60.11753845214844,25496500,0.0,0.0
2025-11-12 00:00:00-03:00,60.320888535460625,60.95866203811116,60.320888535460625,60.78304672241211,26550300,0.0,0.0
2025-11-13 00:00:00-03:00,60.78304794679704,61.420821462294576,60.3671013389775,60.69985580444336,19058500,0.0,0.0
2025-11-14 00:00:00-03:00,59.94191652445755,60.579697090650626,59.72008256524994,60.33012771606445,16374400,0.0,0.0
2025-11-17 00:00:00-03:00,60.63515416514594,60.79228625998674,59.997380647270234,60.28391647338867,20150800,0.0,0.0
2025-11-18 00:00:00-03:00,59.57218855393403,60.34861798907195,59.43354673692228,60.09904861450195,22468700,0.0,0.0
2025-11-19 00:00:00-03:00,60.09904940028928,60.320890414357464,59.80326843350621,60.03434753417969,16523800,0.0,0.0
2025-11-21 00:00:00-03:00,59.664624851402834,60.330126718016174,59.27640661424385,60.228458404541016,20272600,0.0,0.0
2025-11-24 00:00:00-03:00,60.089809744040764,60.561206019679375,59.87721387410573,60.16374969482422,20462800,0.0,0.0
2025-11-25 00:00:00-03:00,60.22846030148836,60.92169760485554,60.22846030148836,60.635154724121094,18275300,0.0,0.0
2025-11-26 00:00:00-03:00,60.99563478652297,61.827520923163725,60.93093292322725,61.540985107421875,33408500,0.0,0.0
2025-11-27 00:00:00-03:00,61.46703809498176,61.605686959726185,61.13428364038483,61.309906005859375,9739100,0.0,0.0
2025-11-28 00:00:00-03:00,62.576214166656825,62.67788952946496,61.966169041782116,62.29892349243164,46007200,0.0,0.0
2025-12-01 00:00:00-03:00,62.66865426461229,62.97367331479404,62.391356525929496,62.77956771850586,15657000,0.0,0.0
2025-12-02 00:00:00-03:00,62.94594686659085,63.519025586384416,62.631682668364306,63.29719161987305,22567200,0.0,0.0
2025-12-03 00:00:00-03:00,63.648426992146575,65.7188937250973,63.61145349041851,65.33992767333984,42361200,0.0,0.0
2025-12-04 00:00:00-03:00,65.34916996484507,66.91126701649434,65.33993187779942,66.47683715820312,38019900,0.0,0.0
2025-12-05 00:00:00-03:00,66.51381096956757,66.85581059515802,64.6282045632383,64.90550231933594,40196800,0.0,0.0
2025-12-08 00:00:00-03:00,65.09035793164009,65.49705939637482,64.23074341425259,64.46182250976562,20860900,0.0,0.0
