Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-18 00:00:00-03:00,27.806770415289346,28.08253933792421,27.595347457716215,27.907886505126953,31498100,0.0,0.0
2025-08-19 00:00:00-03:00,27.760808370739074,27.78838420989066,27.439076805368046,27.613731384277344,39294300,0.0,0.0
2025-08-20 00:00:00-03:00,27.687273970367563,27.907889482672548,27.668888906018086,27.77919578552246,23706600,0.0,0.0
2025-08-21 00:00:00-03:00,27.779192474097812,27.972232120163493,27.586154581328163,27.84354019165039,23327000,0.0,0.0
2025-08-22 00:00:00-03:00,28.099170799335926,28.644420623779297,28.014562913381628,28.644420623779297,49813600,0.671924,0.0
2025-08-25 00:00:00-03:00,28.644421005620845,28.93584896915797,28.59741742082935,28.813636779785156,21075300,0.0,0.0
2025-08-26 00:00:00-03:00,28.653822738702104,28.747831703514112,28.418801223208014,28.60681915283203,21789700,0.0,0.0
2025-08-27 00:00:00-03:00,28.625620891701992,28.841840252501985,28.541013003898193,28.82303810119629,16349100,0.0,0.0
2025-08-28 00:00:00-03:00,28.93584788569017,29.264876553054226,28.8700403591456,29.076860427856445,25802500,0.0,0.0
2025-08-29 00:00:00-03:00,29.076860569067456,29.47169676489359,29.001653760008754,29.236675262451172,27713400,0.0,0.0
2025-09-01 00:00:00-03:00,29.33068392314335,29.49049861489845,29.18966958865752,29.302480697631836,9889700,0.0,0.0
2025-09-02 00:00:00-03:00,29.1426640163064,29.556302330210805,29.1426640163064,29.452892303466797,19812000,0.0,0.0
2025-09-03 00:00:00-03:00,29.255476426502494,29.471695771121478,29.06745851365973,29.19906997680664,29788800,0.0,0.0
2025-09-04 00:00:00-03:00,29.142665320182495,29.44349254627355,29.07685958860904,29.19906997680664,24816500,0.0,0.0
2025-09-05 00:00:00-03:00,29.21787268149964,29.227273756627458,28.381196718912967,28.757230758666992,46121900,0.0,0.0
2025-09-08 00:00:00-03:00,28.982850090417298,29.11446155110402,28.68202286994954,28.870038986206055,18164200,0.0,0.0
2025-09-09 00:00:00-03:00,29.01105518533279,29.283679199058255,28.964049808434062,29.09566307067871,31283900,0.0,0.0
2025-09-10 00:00:00-03:00,29.1050619858875,29.650313592604803,29.067459477914582,29.62211036682129,35949600,0.0,0.0
2025-09-11 00:00:00-03:00,29.424690442978882,29.59390620619104,29.396489011157996,29.50929832458496,17607900,0.0,0.0
2025-09-12 00:00:00-03:00,29.565705671563673,29.800727173585415,29.29307986854401,29.31188201904297,19318400,0.0,0.0
