Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return_pct,sma_21,sma_200
2025-08-18 00:00:00-03:00,27.806770415289343,28.08253933792421,27.595347457716212,27.907886505126957,31498100,0.0,0.0,0.36363838132750603,,
2025-08-19 00:00:00-03:00,27.760808370739078,27.78838420989066,27.43907680536805,27.613731384277344,39294300,0.0,0.0,-0.529800805861109,,
2025-08-20 00:00:00-03:00,27.687273970367563,27.907889482672548,27.668888906018086,27.77919578552246,23706600,0.0,0.0,0.3320002368354402,,
2025-08-21 00:00:00-03:00,27.77919247409781,27.972232120163493,27.586154581328163,27.84354019165039,23327000,0.0,0.0,0.23163998598081004,,
2025-08-22 00:00:00-03:00,28.099170799335926,28.644420623779297,28.014562913381628,28.644420623779297,49813600,0.671924,0.0,1.9404480948464735,,
2025-08-25 00:00:00-03:00,28.644421005620845,28.93584896915797,28.59741742082935,28.81363677978516,21075300,0.0,0.0,0.5907460099511503,,
2025-08-26 00:00:00-03:00,28.653822738702104,28.747831703514112,28.41880122320801,28.60681915283203,21789700,0.0,0.0,-0.16403949413208957,,
2025-08-27 00:00:00-03:00,28.625620891701992,28.841840252501985,28.541013003898197,28.82303810119629,16349100,0.0,0.0,0.6896521484762784,,
2025-08-28 00:00:00-03:00,28.93584788569017,29.264876553054226,28.8700403591456,29.076860427856445,25802500,0.0,0.0,0.4873281844836213,,
2025-08-29 00:00:00-03:00,29.076860569067456,29.47169676489359,29.001653760008757,29.23667526245117,27713400,0.0,0.0,0.5496284339366616,,
2025-09-01 00:00:00-03:00,29.33068392314335,29.49049861489845,29.18966958865752,29.30248069763184,9889700,0.0,0.0,-0.09615604458939155,,
2025-09-02 00:00:00-03:00,29.1426640163064,29.556302330210805,29.1426640163064,29.4528923034668,19812000,0.0,0.0,1.0645158829227648,,
2025-09-03 00:00:00-03:00,29.255476426502494,29.47169577112148,29.06745851365973,29.19906997680664,29788800,0.0,0.0,-0.19280646424460357,,
2025-09-04 00:00:00-03:00,29.14266532018249,29.44349254627355,29.07685958860904,29.19906997680664,24816500,0.0,0.0,0.19354666433027612,,
2025-09-05 00:00:00-03:00,29.21787268149964,29.227273756627454,28.381196718912967,28.757230758666992,46121900,0.0,0.0,-1.5765758440186468,,
2025-09-08 00:00:00-03:00,28.982850090417298,29.11446155110402,28.68202286994954,28.87003898620605,18164200,0.0,0.0,-0.3892339913407814,,
2025-09-09 00:00:00-03:00,29.01105518533279,29.283679199058252,28.964049808434066,29.09566307067871,31283900,0.0,0.0,0.29164015167809754,,
2025-09-10 00:00:00-03:00,29.1050619858875,29.650313592604803,29.067459477914586,29.62211036682129,35949600,0.0,0.0,1.776489537058871,,
2025-09-11 00:00:00-03:00,29.42469044297888,29.59390620619104,29.396489011158,29.50929832458496,17607900,0.0,0.0,0.287540430612316,,
2025-09-12 00:00:00-03:00,29.565705671563677,29.80072717358541,29.29307986854401,29.31188201904297,19318400,0.0,0.0,-0.8585069990899493,,
2025-09-15 00:00:00-03:00,29.424691914607884,29.659713421251947,29.1990714833982,29.56570625305176,21978400,0.0,0.0,0.479238113531007,28.868154616582963,
2025-09-16 00:00:00-03:00,29.70671874449294,29.78192555475963,29.462296162858237,29.640913009643555,19154700,0.0,0.0,-0.2215180189215049,28.950679688226607,
2025-09-17 00:00:00-03:00,29.65031459848559,29.885336108772613,29.57510599384479,29.819528579711918,29148100,0.0,0.0,0.5706987717255807,29.05571764991397,
2025-09-18 00:00:00-03:00,29.86653442869016,29.91353801426021,29.32128458794704,29.52810287475586,25702900,0.0,0.0,-1.1331463807504822,29.138998939877464,
2025-09-19 00:00:00-03:00,29.54690257764424,29.565704727542855,29.05805743871042,29.19906997680664,48871300,0.0,0.0,-1.177221876044549,29.203547977265856,
2025-09-22 00:00:00-03:00,29.14266876189243,29.58450857826039,28.99225513108325,29.490501403808597,22016100,0.0,0.0,1.1935510943012884,29.243837538219633,
2025-09-23 00:00:00-03:00,29.60330771455271,30.16735966916048,29.575104489247217,29.98874282836914,39895300,0.0,0.0,1.3020001600258841,29.299794969104585,
2025-09-24 00:00:00-03:00,30.23316494793334,30.67500650572772,30.139157784469752,30.665603637695312,36414400,0.0,0.0,1.4303454187039508,29.397832325526647,
2025-09-25 00:00:00-03:00,30.74081200642186,30.834819169179163,30.30837331990885,30.42118263244629,29556300,0.0,0.0,-1.0397557940525382,29.473934446062362,
2025-09-26 00:00:00-03:00,30.54339796078956,30.778419478047844,30.22376855387255,30.31777572631836,27819700,0.0,0.0,-0.7386939552725748,29.53302565075102,
2025-09-29 00:00:00-03:00,30.3271743030883,30.590400834867413,29.828929845665883,29.904136657714844,35720000,0.0,0.0,-1.3949128301424902,29.56480952671596,
2025-09-30 00:00:00-03:00,29.791326816924208,29.98874402270987,29.293080575114224,29.575105667114254,48611500,0.0,0.0,-0.7257855655059993,29.577791668119886,
2025-10-01 00:00:00-03:00,29.565706438976942,29.659713607768296,29.424692099646293,29.49989891052246,24817000,0.0,0.0,-0.2225806056429159,29.58003007797968,
2025-10-02 00:00:00-03:00,29.499899626338568,29.52810285350341,29.161469865719702,29.21787452697754,25497100,0.0,0.0,-0.9560205388266019,29.58092553274972,
2025-10-03 00:00:00-03:00,29.293079478884465,29.452894169856247,29.14266586303711,29.14266586303711,19756800,0.0,0.0,-0.5134783318216146,29.57823962257022,
2025-10-06 00:00:00-03:00,29.330686809546307,29.358888244761356,28.860643763195064,28.879444122314453,21245400,0.0,0.0,-1.538466146946779,29.58405930655343,
2025-10-07 00:00:00-03:00,28.879440995657863,29.011054253675905,28.53161018313641,28.982851028442383,29068800,0.0,0.0,0.35807491149177134,29.589431308564684,
2025-10-08 00:00:00-03:00,29.21787406405061,29.21787406405061,28.67262423233884,28.81363677978516,17687400,0.0,0.0,-1.3835273688266674,29.5760014851888,
2025-10-09 00:00:00-03:00,28.823037136034824,28.99225290597609,28.381197353577328,28.39999771118164,22879700,0.0,0.0,-1.4677128675114368,29.517805644444056,
2025-10-10 00:00:00-03:00,28.29658900130266,28.352993659327662,28.08036965131369,28.146175384521484,50214400,0.0,0.0,-0.531560948120819,29.45289502825056,
2025-10-13 00:00:00-03:00,28.343593543068916,28.456404656007308,28.174377770197225,28.418800354003903,13890500,0.0,0.0,0.26533971714175,29.410367329915363,
2025-10-14 00:00:00-03:00,28.155576408026267,28.63501868996643,28.08976888186751,28.22138214111328,28138200,0.0,0.0,0.233721846547795,29.346351896013534,
2025-10-15 00:00:00-03:00,28.24958491047938,28.362396024732984,27.892353002641336,27.967559814453125,40261000,0.0,0.0,-0.9983335929358631,29.266668410528276,
2025-10-16 00:00:00-03:00,27.95815560607871,28.023961334906392,27.64792731798276,27.685531616210938,28660900,0.0,0.0,-0.9751143591478431,29.165049507504417,
2025-10-17 00:00:00-03:00,27.732537815609103,28.15557724527932,27.553920968295927,27.94875717163086,36238600,0.0,0.0,0.7796594652079004,29.08984256926037,
2025-10-20 00:00:00-03:00,27.92055622947269,28.10857236246625,27.7137361521864,27.967559814453125,31442800,0.0,0.0,0.16834759520592013,29.031199228195916,
2025-10-21 00:00:00-03:00,28.164975254809423,28.19317847987013,27.704333337248155,27.7419376373291,25509900,0.0,0.0,-1.5019988963352078,28.947934286934988,
2025-10-22 00:00:00-03:00,27.976961325129217,28.23078499134312,27.84534985067987,28.061569213867188,27088800,0.0,0.0,0.302419865240957,28.856164114815847,
2025-10-23 00:00:00-03:00,28.691427213643436,28.87944335132132,28.30599206937111,28.38119888305664,40060800,0.0,0.0,-1.0812579251522034,28.74738293602353,
