Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return_pct,sma_21,sma_200
2025-08-13 00:00:00-04:00,230.2195756343437,234.1351043372746,229.5819165003467,232.47125244140625,69878500,0.0,0.0,0.9780561886878272,,
2025-08-14 00:00:00-04:00,233.198551357138,234.2546476473393,230.00037411625505,231.9232635498047,51916300,0.0,0.0,-0.5468678085312121,,
2025-08-15 00:00:00-04:00,233.13877413921492,233.41774239633352,228.4959213987516,230.73764038085935,56038700,0.0,0.0,-1.0299160949185455,,
2025-08-18 00:00:00-04:00,230.8472385776313,232.2620105258568,229.26309412883964,230.04022216796875,37476200,0.0,0.0,-0.34958893796390256,,
2025-08-19 00:00:00-04:00,230.4287923573085,232.01293684851592,228.50590285589897,229.71144104003903,39402600,0.0,0.0,-0.31131149451025764,,
2025-08-20 00:00:00-04:00,229.13358225147155,229.6217843388592,224.939085159242,225.17819213867188,42263900,0.0,0.0,-1.7262376269484059,,
2025-08-21 00:00:00-04:00,225.43723377620464,225.6863136691638,222.95639256938463,224.072265625,30621200,0.0,0.0,-0.6054759137790267,,
2025-08-22 00:00:00-04:00,225.33760837029212,228.2468598588307,224.58041092619504,226.9217529296875,42477800,0.0,0.0,0.7030093959248006,,
2025-08-25 00:00:00-04:00,225.6464693442017,228.456098045362,225.3973894325087,226.323974609375,30983100,0.0,0.0,0.30025077154645247,,
2025-08-26 00:00:00-04:00,226.0350268937484,228.6453946309622,223.86305742355088,228.46604919433597,54575100,0.0,0.0,1.075506895544247,,
2025-08-27 00:00:00-04:00,227.7686378094015,230.050203138926,227.41991984776428,229.6417236328125,31259500,0.0,0.0,0.822363360217492,,
2025-08-28 00:00:00-04:00,229.9704999102399,232.55096405412047,228.4959359400532,231.7040863037109,38074700,0.0,0.0,0.7538299017254991,,
2025-08-29 00:00:00-04:00,231.65426265633036,232.52107103838583,230.51845893056876,231.2856292724609,39418400,0.0,0.0,-0.159130844234166,,
2025-09-02 00:00:00-04:00,228.4062860305561,230.00040359535527,226.13467838242784,228.8745574951172,44075600,0.0,0.0,0.20501689016494645,,
2025-09-03 00:00:00-04:00,236.33698891571112,237.9709525201245,233.49747185558655,237.59234619140625,66427800,0.0,0.0,0.5311725775362451,,
2025-09-04 00:00:00-04:00,237.57241502764157,239.01707546456905,235.86871695735925,238.89752197265625,47549400,0.0,0.0,0.557769699340096,,
2025-09-05 00:00:00-04:00,239.1167027112504,240.43185187342493,237.61226559630575,238.80784606933597,54870400,0.0,0.0,-0.1291656494140482,,
2025-09-08 00:00:00-04:00,238.41927329094256,239.2661357937392,235.4701607098454,237.00450134277344,48999500,0.0,0.0,-0.5933966363712027,,
2025-09-09 00:00:00-04:00,236.12775932745956,237.901207105354,232.5011563745861,233.48751831054688,66313900,0.0,0.0,-1.1181408845925749,,
2025-09-10 00:00:00-04:00,231.3354573908009,231.56460664903227,225.118417424808,225.955322265625,83440800,0.0,0.0,-2.325685472455315,,
2025-09-11 00:00:00-04:00,226.04500979013488,229.60186307827533,225.81584532196928,229.18341064453125,50208600,0.0,0.0,1.3883964336616526,230.87050083705358,
2025-09-12 00:00:00-04:00,228.37638560886936,233.6469097348115,228.17712472443904,233.2085418701172,55824200,0.0,0.0,2.1158738668908015,230.9056098574684,
2025-09-15 00:00:00-04:00,236.1277410783948,237.31336381412063,234.1649902844441,235.82884216308597,42699500,0.0,0.0,-0.1265835661425273,231.09158979143416,
2025-09-16 00:00:00-04:00,236.30708253667356,240.3322223551857,235.45026224943368,237.2735137939453,63421100,0.0,0.0,0.4089726160119495,231.40282185872397,
