Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return_pct,sma_21,sma_200
2025-08-12 00:00:00-03:00,49.96231003938929,50.158763631111256,49.739064689263735,49.92658996582031,25851300,0.0,0.0,-0.07149403928844253,,
2025-08-13 00:00:00-03:00,50.1903786339678,50.37524261481594,49.8576241736386,49.99627304077149,19720000,1.895387,0.0,-0.3867386508715147,,
2025-08-14 00:00:00-03:00,49.49714194577589,49.55260219849372,49.062715640441446,49.37697982788086,42823200,0.0,0.0,-0.24276577024723006,,
2025-08-15 00:00:00-03:00,49.41395344378795,49.52487394947972,48.98876874993114,49.284549713134766,34201900,0.0,0.0,-0.26187690244293854,,
2025-08-18 00:00:00-03:00,49.08119601158694,49.64502954047949,49.01649415017176,49.17362976074219,12733400,0.0,0.0,0.18832823294164702,,
2025-08-19 00:00:00-03:00,49.46016794106261,49.6173035591718,48.98876813870938,49.21060562133789,17724400,0.0,0.0,-0.5045723257998209,,
2025-08-20 00:00:00-03:00,48.89633549352008,49.23833154992531,48.859361993912216,48.988765716552734,9687300,0.0,0.0,0.18903302691242918,,
2025-08-21 00:00:00-03:00,49.00725633977094,49.478656156075,48.9425544733368,49.40471267700195,10813800,0.0,0.0,0.8110152800136753,,
2025-08-22 00:00:00-03:00,49.3862244475835,50.73572551565758,49.2753074693001,50.64329528808594,20706700,0.0,0.0,2.5453876147925403,,
2025-08-25 00:00:00-03:00,50.99453353471457,51.207129407245326,50.59708073099382,50.76345443725586,10397400,0.0,0.0,-0.45314484012566447,,
2025-08-26 00:00:00-03:00,50.671026606752086,51.21637344360352,50.541622870208926,51.21637344360352,18891500,0.0,0.0,1.0762498282968815,,
2025-08-27 00:00:00-03:00,51.04075011910527,51.32728593178077,50.94831636825264,51.18864059448242,8789100,0.0,0.0,0.2897498078144341,,
2025-08-28 00:00:00-03:00,51.76171501072315,51.937333845868494,51.14242475574719,51.20712661743164,22059500,0.0,0.0,-1.0714258466448026,,
2025-08-29 00:00:00-03:00,51.29031675211686,51.60458445791093,51.25334325120294,51.355018615722656,13885400,0.0,0.0,0.12614830186855397,,
2025-09-01 00:00:00-03:00,50.96680596193848,51.39199066162109,50.66178338207478,51.39199066162109,7765400,0.0,0.0,0.8342384649336806,,
